seed,result,time (seconds)
675,solved,37.279
676,solved,55.457
677,unsolvable,23.463
678,solved,63.664
679,unsolvable,30.677
680,solved,33.009
681,solved,96.964
682,unsolvable,7.536
683,unsolvable,15.647
684,solved,41.533
685,solved,34.141
686,solved,38.703
687,solved,37.035
688,solved,27.678
689,solved,36.62
690,solved,67.895
691,unsolvable,35.467
692,solved,32.311
693,unsolvable,6.461
694,unsolvable,6.682
695,solved,53.831
696,solved,32.985
697,solved,53.642
698,unsolvable,117.306
699,solved,33.714
700,solved,33.858
701,unsolvable,9.86
702,solved,45.191
703,solved,47.602
704,solved,58.066
705,solved,56.033
706,solved,35.566
707,solved,37.046
708,solved,42.177
709,solved,51.865
710,solved,43.743
711,solved,59.429
712,solved,45.148
713,solved,43.753
714,unsolvable,15.811
715,solved,29.086
716,solved,29.49
717,unsolvable,12.953
718,solved,47.237
719,unsolvable,11.436
720,solved,56.271
721,solved,40.902
722,unsolvable,5.288
723,unsolvable,43.566
724,solved,64.747
725,solved,48.283
726,solved,22.474
727,solved,47.951
728,solved,30.466
729,unsolvable,16.711
730,solved,48.085
731,solved,29.467
732,solved,58.359
733,solved,39.393
734,solved,29.46
735,solved,55.464
736,unsolvable,13.462
737,solved,19.007
738,solved,42.022
739,solved,44.566
740,solved,81.769
741,solved,63.894
742,solved,26.573
743,solved,41.504
744,solved,27.625
745,solved,47.251
746,solved,61.194
747,solved,30.159
748,solved,38.053
749,solved,33.438
750,unsolvable,5.208
751,solved,139.442
752,solved,47.278
753,solved,40.256
754,solved,27.727
755,solved,35.725
756,solved,23.768
757,solved,28.049
758,solved,38.98
759,solved,52.319
760,solved,65.379
761,solved,28.297
762,solved,45.093
763,solved,17.277
764,solved,48.091
765,unsolvable,19.62
766,solved,40.067
767,solved,30.159
768,solved,57.288
769,solved,84.088
770,unsolvable,4.761
771,unsolvable,19.648
772,solved,42.589
773,solved,37.197
774,solved,51.556
775,solved,27.257
776,solved,32.699
777,solved,34.771
778,unsolvable,5.374
779,solved,62.377
780,solved,31.706
781,solved,41.053
782,solved,38.865
783,solved,28.417
784,solved,47.616
785,solved,36.53
786,solved,64.763
787,solved,46.591
788,solved,31.025
789,solved,34.867
790,solved,34.123
791,solved,38.352
792,solved,38.446
793,solved,56.26
794,solved,35.981
795,solved,27.499
796,solved,34.593
797,solved,47.766
798,solved,32.888
799,solved,44.574
800,solved,51.338
801,unsolvable,45.84
802,solved,33.459
803,solved,33.209
804,solved,52.825
805,solved,26.959
806,solved,31.844
807,solved,27.68
808,solved,46.362
809,unsolvable,15.17
810,solved,33.869
811,solved,55.061
812,solved,49.583
813,solved,62.686
814,solved,35.146
815,solved,52.878
816,solved,58.117
817,solved,41.728
818,unsolvable,22.509
819,solved,33.127
820,solved,39.029
821,solved,41.099
822,unsolvable,52.951
823,solved,60.472
824,solved,32.026
825,solved,40.553
826,solved,28.426
827,solved,34.014
828,solved,57.788
829,solved,37.863
830,solved,39.8
831,solved,43.069
832,solved,57.723
833,solved,31.292
834,unsolvable,30.604
835,solved,36.55
836,solved,44.993
837,unsolvable,13.384
838,solved,34.661
839,unsolvable,14.804
840,solved,40.127
841,solved,69.293
842,solved,43.036
843,solved,38.21
844,solved,27.165
845,unsolvable,11.333
846,solved,70.191
847,solved,66.125
848,solved,35.499
849,unsolvable,16.215
850,solved,35.277
851,solved,58.686
852,solved,33.236
853,solved,46.819
854,unsolvable,5.52
855,solved,21.035
856,solved,84.363
857,solved,32.177
858,unsolvable,22.032
859,unsolvable,5.976
860,solved,35.627
861,solved,43.065
862,unsolvable,5.244
863,solved,27.878
864,solved,40.794
865,solved,43.919
866,unsolvable,27.2
867,solved,52.039
868,unsolvable,6.741
869,solved,42.235
870,solved,32.721
871,solved,44.191
872,solved,30.529
873,solved,61.39
874,solved,45.405
875,solved,35.279
876,solved,49.743
877,solved,72.84
878,solved,36.883
879,unsolvable,91.542
880,solved,24.767
881,solved,36.279
882,solved,48.103
883,unsolvable,15.669
884,unsolvable,6.114
885,solved,55.842
886,solved,93.025
887,solved,35.766
888,solved,47.068
889,unsolvable,5.521
890,solved,73.058
891,unsolvable,29.165
892,solved,145.707
893,unsolvable,16.112
894,solved,49.76
895,unsolvable,159.838
896,solved,44.382
897,solved,36.324
898,unsolvable,4.56
899,solved,36.256
900,solved,33.069
901,solved,51.637
902,solved,37.828
903,solved,23.589
904,solved,71.174
905,solved,33.751
906,solved,51.602
907,solved,34.502
908,solved,87.42
909,solved,35.916
910,solved,63.333
911,solved,32.116
912,solved,33.428
913,solved,46.827
914,solved,28.542
915,solved,86.454
916,solved,26.625
917,solved,98.512
918,solved,33.746
919,solved,30.454
920,unsolvable,15.201
921,solved,26.97
922,unsolvable,24.855
923,solved,64.996
924,solved,40.796
925,unsolvable,17.241
926,solved,38.04
927,unsolvable,6.925
928,unsolvable,34.882
929,solved,31.095
930,solved,41.314
931,solved,43.661
932,solved,39.839
933,solved,57.532
934,solved,39.546
935,solved,49.019
936,solved,38.198
937,solved,30.125
938,solved,38.788
939,solved,55.708
940,solved,43.085
941,unsolvable,14.62
942,solved,29.715
943,solved,61.231
944,solved,50.757
945,solved,56.753
946,solved,25.867
947,solved,39.805
948,solved,29.165
949,solved,62.698
950,solved,35.572
951,solved,34.341
952,unsolvable,17.981
953,solved,36.721
954,solved,40.054
955,solved,58.963
956,solved,44.914
957,solved,30.714
958,unsolvable,15.834
959,solved,45.493
960,solved,42.543
961,unsolvable,76.929
962,solved,40.315
963,solved,24.319
964,solved,64.065
965,solved,31.615
966,solved,64.095
967,unsolvable,9.18
968,solved,42.329
969,solved,49.412
970,solved,29.28
971,solved,31.521
972,solved,40.626
973,solved,31.755
974,solved,49.646
975,solved,27.915
976,unsolvable,22.321
977,unsolvable,26.073
978,solved,42.333
979,solved,44.595
980,solved,30.43
981,unsolvable,5.531
982,unsolvable,16.344
983,solved,41.652
984,solved,48.051
985,solved,25.109
986,solved,49.85
987,solved,39.511
988,solved,61.286
989,unsolvable,29.502
990,solved,32.822
991,solved,42.465
992,solved,29.616
993,solved,24.054
994,solved,56.066
995,solved,26.817
996,solved,39.555
997,unsolvable,23.492
998,unsolvable,28.623
999,solved,34.17
1000,unsolvable,6.307
1001,unsolvable,5.606
1002,solved,44.928
1003,solved,54.847
1004,solved,27.247
1005,solved,38.932
1006,solved,61.304
1007,solved,35.736
1008,solved,30.109
1009,solved,40.084
1010,solved,24.687
1011,solved,44.244
1012,solved,41.708
1013,solved,53.206
1014,solved,35.941
1015,solved,60.157
1016,solved,47.444
1017,solved,77.854
1018,solved,30.23
1019,solved,33.418
1020,solved,26.124
1021,solved,81.525
1022,solved,53.004
1023,solved,52.974
1024,unsolvable,13.024
1025,solved,77.765
1026,unsolvable,19.769
1027,unsolvable,7.228
1028,solved,22.815
1029,solved,45.015
1030,solved,68.914
1031,solved,43.389
1032,unsolvable,13.458
1033,unsolvable,73.662
1034,solved,56.211
1035,solved,33.948
1036,solved,63.462
1037,solved,64.18
1038,solved,39.404
1039,solved,30.852
1040,solved,77.424
1041,solved,87.342
1042,solved,36.259
1043,solved,74.981
1044,unsolvable,17.956
1045,solved,72.048
1046,unsolvable,17.669
1047,solved,41.556
1048,solved,47.087
1049,solved,48.243
1050,solved,40.508
1051,solved,51.533
1052,solved,82.211
1053,solved,47.694
1054,solved,51.399
1055,unsolvable,18.207
1056,solved,43.923
1057,solved,45.006
1058,unsolvable,14.805
1059,solved,61.381
1060,unsolvable,29.994
1061,solved,36.175
1062,solved,80.036
1063,unsolvable,16.082
1064,solved,47.826
1065,unsolvable,29.689
1066,unsolvable,36.697
1067,unsolvable,5.865
1068,solved,51.278
1069,solved,35.123
1070,unsolvable,47.057
1071,solved,43.895
1072,solved,35.481
1073,solved,50.797
1074,unsolvable,24.996
1075,solved,50.332
1076,solved,46.154
1077,unsolvable,5.748
1078,unsolvable,20.058
1079,solved,92.458
1080,solved,59.207
1081,unsolvable,18.757
1082,unsolvable,5.605
1083,solved,43.633
1084,solved,68.959
1085,solved,48.692
1086,unsolvable,29.714
1087,solved,33.464
1088,solved,68.382
1089,solved,46.54
1090,solved,23.343
1091,solved,39.863
1092,solved,25.729
1093,solved,33.151
1094,solved,49.73
1095,solved,61.207
1096,solved,42.698
1097,solved,41.311
1098,solved,44.938
1099,solved,28.613
1100,solved,37.073
1101,solved,35.694
1102,unsolvable,37.473
1103,solved,29.968
1104,solved,47.697
1105,unsolvable,38.313
1106,unsolvable,5.804
1107,solved,71.187
1108,solved,36.167
1109,solved,66.148
1110,unsolvable,38.831
1111,solved,32.286
1112,solved,39.222
1113,unsolvable,5.704
1114,solved,72.931
1115,solved,73.507
1116,solved,58.967
1117,solved,61.909
1118,solved,52.004
1119,solved,45.914
1120,unsolvable,5.401
1121,solved,44.12
1122,solved,42.869
1123,solved,36.917
1124,solved,55.419
1125,unsolvable,64.891
1126,solved,38.6
1127,solved,34.544
1128,solved,38.075
1129,solved,38.948
1130,solved,44.744
1131,solved,38.585
1132,unsolvable,5.343
1133,solved,45.665
1134,solved,47.868
1135,solved,72.576
1136,solved,30.602
1137,unsolvable,22.06
1138,solved,33.71
1139,unsolvable,26.051
1140,solved,53.497
1141,solved,24.095
1142,solved,32.776
1143,solved,31.454
1144,solved,40.098
1145,solved,26.074
1146,solved,33.738
1147,solved,44.522
1148,solved,36.231
1149,solved,29.826
1150,solved,28.108
1151,solved,40.758
1152,solved,30.931
1153,solved,118.876
1154,solved,71.456
1155,solved,30.862
1156,solved,46.438
1157,unsolvable,6.862
1158,solved,39.385
1159,unsolvable,109.705
1160,unsolvable,18.824
1161,solved,41.832
1162,solved,31.619
1163,solved,30.185
1164,unsolvable,14.137
1165,unsolvable,54.569
1166,unsolvable,43.144
1167,solved,30.048
1168,solved,48.247
1169,solved,33.811
1170,unsolvable,14.334
1171,solved,46.923
1172,solved,43.977
1173,solved,40.261
1174,solved,54.681
1175,solved,40.916
1176,solved,75.924
1177,solved,47.968
1178,solved,66.179
1179,unsolvable,29.751
1180,solved,37.99
1181,solved,34.632
1182,solved,31.272
1183,unsolvable,29.261
1184,solved,44.915
1185,solved,38.165
1186,solved,45.745
1187,unsolvable,23.36
1188,solved,43.141
1189,unsolvable,28.152
1190,solved,32.607
1191,unsolvable,11.113
1192,unsolvable,8.092
1193,solved,28.283
1194,solved,25.526
1195,solved,29.26
1196,solved,68.892
1197,solved,22.517
1198,solved,50.195
1199,unsolvable,28.837
1200,solved,45.395
1201,solved,49.479
1202,solved,95.591
1203,solved,25.358
1204,unsolvable,10.238
1205,solved,59.583
1206,unsolvable,6.315
1207,unsolvable,5.021
1208,solved,77.071
1209,solved,25.498
1210,solved,27.726
1211,solved,51.129
1212,unsolvable,5.164
1213,solved,67.619
1214,unsolvable,36.407
1215,solved,46.452
1216,solved,32.991
1217,solved,31.155
1218,solved,36.014
1219,solved,83.341
1220,solved,41.146
1221,solved,29.454
1222,solved,50.37
1223,solved,29.52
1224,solved,32.672
1225,solved,26.722
1226,solved,88.669
1227,solved,72.099
1228,solved,45.333
1229,solved,53.837
1230,solved,39.118
1231,solved,50.746
1232,solved,57.381
1233,solved,65.483
1234,solved,25.628
1235,solved,27.972
1236,solved,59.801
1237,solved,21.118
1238,solved,44.502
1239,solved,79.484
1240,unsolvable,31.449
1241,solved,44.9
1242,unsolvable,5.319
1243,solved,34.177
1244,solved,41.363
1245,solved,53.894
1246,solved,45.247
1247,unsolvable,9.047
1248,unsolvable,26.439
1249,unsolvable,13.778
1250,solved,42.293
1251,unsolvable,5.427
1252,solved,87.384
1253,solved,31.228
1254,solved,48.448
1255,solved,46.294
1256,solved,58.467
1257,solved,46.341
1258,solved,41.183
1259,solved,54.608
1260,solved,65.465
1261,solved,34.733
1262,solved,24.175
1263,solved,60.633
1264,solved,32.481
1265,solved,40.788
1266,solved,58.927
1267,solved,33.643
1268,solved,36.169
1269,solved,34.452
1270,unsolvable,26.764
1271,solved,59.276
1272,solved,28.984
1273,unsolvable,24.022
1274,solved,65.978
1275,solved,26.488
1276,solved,33.435
1277,unsolvable,38.83
1278,solved,44.676
1279,solved,51.243
1280,solved,38.683
1281,unsolvable,4.894
1282,solved,39.558
1283,solved,74.423
1284,solved,61.199
1285,solved,59.522
1286,unsolvable,14.37
1287,solved,62.032
1288,unsolvable,30.901
1289,solved,42.945
1290,solved,31.717
1291,solved,35.801
1292,solved,40.98
1293,solved,24.497
1294,unsolvable,64.508
1295,solved,38.589
1296,solved,56.097
1297,solved,44.028
1298,solved,45.238
1299,solved,46.676
1300,solved,72.206
1301,unsolvable,26.112
1302,solved,37.402
1303,solved,31.873
1304,solved,26.923
1305,solved,39.008
1306,solved,39.586
1307,solved,54.542
1308,solved,44.926
1309,solved,44.556
1310,unsolvable,22.366
1311,solved,38.705
1312,solved,65.365
1313,solved,43.434
1314,solved,41.218
1315,solved,63.399
1316,solved,67.033
1317,solved,61.09
1318,solved,59.228
1319,unsolvable,44.237
1320,solved,28.834
1321,solved,28.379
1322,solved,42.668
1323,solved,24.067
1324,solved,71.025
1325,solved,22.508
1326,solved,52.966
1327,solved,53.433
1328,solved,20.013
1329,unsolvable,15.91
1330,unsolvable,7.56
1331,solved,39.388
1332,unsolvable,6.251
1333,solved,55.68
1334,unsolvable,9.516
1335,unsolvable,24.114
1336,solved,37.685
1337,solved,41.726
1338,unsolvable,11.728
1339,unsolvable,15.049
1340,solved,45.115
1341,solved,80.304
1342,unsolvable,26.257
1343,solved,55.213
1344,solved,40.663
1345,solved,49.654
1346,solved,83.98
1347,solved,116.546
1348,solved,31.659
1349,solved,43.451
1350,unsolvable,28.142
1351,solved,31.154
1352,solved,30.548
1353,solved,25.736
1354,solved,23.721
1355,solved,30.74
1356,solved,23.771
1357,unsolvable,20.61
1358,unsolvable,4.956
1359,solved,32.774
1360,solved,31.242
1361,solved,42.315
1362,solved,56.514
1363,solved,26.167
1364,solved,75.681
1365,solved,19.412
1366,unsolvable,15.209
1367,solved,27.029
1368,solved,49.946
1369,solved,23.57
1370,solved,46.354
1371,solved,28.904
1372,solved,30.993
1373,solved,62.595
1374,solved,43.179
1375,solved,63
1376,solved,55.796
1377,solved,81.212
1378,unsolvable,11.821
1379,solved,34.706
1380,solved,74.528
1381,unsolvable,21.316
1382,solved,36.644
1383,solved,42.768
1384,solved,19.17
1385,unsolvable,33.899
1386,solved,59.047
1387,solved,81.473
1388,solved,43.171
1389,solved,45.936
1390,solved,24.95
1391,solved,24.056
1392,solved,45.648
1393,solved,27.705
1394,solved,28.013
1395,solved,36.608
1396,solved,41.555
1397,solved,27.185
1398,solved,40.248
1399,solved,52.226
1400,unsolvable,14.827
1401,solved,48.346
1402,unsolvable,48.645
1403,solved,44.886
1404,solved,50.384
1405,solved,30.053
1406,solved,35.048
1407,unsolvable,34.903
1408,solved,279.655
1409,unsolvable,45.697
1410,solved,29.356
1411,solved,38.686
1412,solved,31.755
1413,solved,45.041
1414,solved,36.194
