seed,result,time (seconds)
977,unsolvable,0.101
978,solved,0
979,solved,0.001
980,solved,0
981,unsolvable,0.002
982,unsolvable,6.14
983,solved,3.576
984,solved,8.268
985,solved,0.001
986,solved,0
987,solved,0
988,solved,0.012
989,unsolvable,5.883
990,solved,0
991,solved,0.028
992,solved,0
993,solved,0.003
994,solved,0.02
995,solved,0.112
996,solved,0
997,unsolvable,0.268
998,unsolvable,0.024
999,solved,0
1000,unknown,3600
1001,unsolvable,1.07
1002,solved,0
1003,solved,0.047
1004,solved,0.001
1005,solved,0
1006,solved,1.546
1007,solved,0.729
1008,solved,0.005
1009,solved,2.115
1010,solved,1.665
1011,solved,0
1012,solved,0
1013,solved,0
1014,solved,0.046
1015,solved,0
1016,solved,0
1017,solved,0
1018,solved,0
1019,solved,0
1020,solved,0
1021,solved,0.031
1022,solved,0
1023,solved,0.038
1024,unsolvable,0
1025,solved,0
1026,unknown,3600
1027,unsolvable,1.118
1028,solved,0
1029,solved,0
1030,solved,0
1031,solved,0.002
1032,unsolvable,8.098
1033,unsolvable,0.022
1034,solved,0
1035,solved,0
1036,solved,0.003
1037,solved,0.001
1038,solved,0
1039,solved,0.001
1040,solved,0
1041,solved,0
1042,solved,0.003
1043,solved,0.056
1044,unsolvable,0.009
1045,solved,0
1046,unsolvable,0.279
1047,solved,0
1048,solved,0
1049,solved,0
1050,solved,0.003
1051,solved,0
1052,solved,0
1053,solved,0
1054,solved,0.007
1055,unsolvable,4.925
1056,solved,0
1057,solved,0.542
1058,unsolvable,0.03
1059,solved,0
1060,unsolvable,34.554
1061,solved,0
1062,solved,0.001
1063,unsolvable,2.973
1064,solved,0
1065,unsolvable,1.02
1066,unsolvable,0
1067,unsolvable,0.002
1068,solved,0.04
1069,solved,0
1070,unsolvable,0.487
1071,solved,0
1072,solved,0
1073,solved,0
1074,unsolvable,0.036
1075,solved,0
1076,solved,0.966
1077,unsolvable,1.383
1078,unsolvable,0.657
1079,solved,0.043
1080,solved,0.02
1081,unsolvable,0
1082,unsolvable,0.216
1083,solved,0.476
1084,solved,0.004
1085,solved,0
1086,unsolvable,0.014
1087,solved,0
1088,solved,0.061
1089,unknown,3600
