Seed,result,time (seconds)
539,solved,122.2716667
540,unsolvable,45.44766667
541,solved,245.1713333
542,solved,71.82933333
543,solved,78.27033333
544,solved,62.18
545,solved,57.33
546,solved,79.32533333
547,solved,148.647
548,solved,152.282
549,solved,930.8246667
550,solved,96.30766667
551,unsolvable,38.51133333
552,solved,92.83866667
553,unsolvable,45.69866667
554,solved,85.88733333
555,solved,105.0396667
556,solved,67.54466667
557,solved,128.0956667
558,unsolvable,14.20033333
559,solved,142.0246667
560,solved,66.07
561,solved,71.55866667
562,solved,61.99666667
563,solved,115.9876667
564,solved,83.55466667
565,solved,76.075
566,solved,180.5986667
567,solved,59.30966667
568,solved,92.547
569,unsolvable,173.438
570,solved,45.707
571,solved,45.60933333
572,unsolvable,34.65066667
573,solved,64.735
574,solved,90.369
575,solved,150.1266667
576,solved,100.945
577,solved,167.1403333
578,solved,96.799
579,solved,76.376
580,solved,85.71966667
581,solved,85.43766667
582,solved,80.28133333
583,unsolvable,44.494
584,solved,82.48466667
585,solved,73.807
586,unsolvable,60.31533333
587,unsolvable,34.30766667
588,solved,210.628
589,solved,81.46566667
590,solved,79.73366667
591,unsolvable,32.25066667
592,solved,57.27533333
593,solved,80.83533333
594,solved,79.18966667
595,solved,219.1293333
596,solved,68.85333333
597,solved,83.005
598,unsolvable,46.42233333
599,solved,122.6486667
600,solved,52.543
601,solved,168.0486667
602,unsolvable,31.58566667
603,solved,138.1913333
604,solved,40.731
605,solved,154.5643333
606,solved,210.0316667
607,solved,169.9846667
608,solved,96.16666667
609,unsolvable,41.94033333
610,unsolvable,45.61566667
611,unsolvable,47.32733333
612,unsolvable,56.846
613,solved,152.195
614,solved,97.96933333
615,unsolvable,39.351
616,solved,37.91633333
617,solved,51.73366667
618,solved,66.98366667
619,unsolvable,10.56733333
620,solved,78.09133333
621,solved,85.577
622,solved,224.7956667
623,solved,87.231
624,solved,92.59566667
625,unsolvable,44.96966667
626,unsolvable,61.103
627,unsolvable,101.3893333
628,solved,68.65466667
629,solved,118.426
630,solved,45.68433333
631,solved,61.94633333
632,unsolvable,13.53433333
633,unsolvable,70.94833333
634,solved,86.37666667
635,solved,201.745
636,solved,63.344
637,solved,71.74733333
638,solved,169.546
639,solved,149.4763333
640,solved,77.33533333
641,solved,109.4643333
642,solved,127.856
643,solved,122.3326667
644,solved,149.6393333
645,solved,106.382
646,solved,122.6596667
647,solved,96.08166667
648,solved,65.51033333
649,solved,241.4993333
650,solved,106.6796667
651,solved,45.353
652,solved,69.94766667
653,solved,92.969
654,solved,58.933
655,solved,90.564
656,solved,96.74133333
657,solved,79.428
658,solved,138.53
659,solved,172.7993333
660,solved,60.91633333
661,solved,285.5983333
662,solved,94.22233333
663,solved,83.285
664,solved,46.31033333
665,solved,83.30433333
666,solved,69.778
667,solved,73.395
668,unsolvable,11.79666667
669,solved,88.822
670,solved,71.405
671,solved,196.4096667
672,solved,60.09166667
673,solved,73.37566667
674,solved,48.00933333
675,solved,53.47966667
676,solved,190.4493333
677,unsolvable,47.382
678,solved,68.44566667
679,unsolvable,35.493
680,solved,79.22566667
681,solved,262.128
682,unsolvable,37.13133333
683,unsolvable,55.258
684,solved,100.5803333
685,solved,50.995
686,solved,64.01866667
687,solved,57.30566667
688,solved,63.56233333
689,solved,45.32833333
690,solved,160.9623333
691,unsolvable,58.61466667
692,solved,57.34033333
693,unsolvable,7.715666667
694,unsolvable,7.345
695,solved,217.6576667
696,solved,69.99766667
697,solved,180.7393333
698,unsolvable,353.7165
699,solved,48.08666667
700,solved,82.84333333
701,unsolvable,33.27366667
702,solved,128.3266667
703,solved,54.20266667
704,solved,111.405
705,solved,50.39933333
706,solved,114.05
707,solved,37.16066667
708,solved,75.79666667
709,solved,133.854
710,solved,141.939
711,solved,186.1896667
712,solved,63.363
713,solved,101.8573333
714,unsolvable,42.50866667
715,solved,99.45966667
716,solved,57.17766667
717,unsolvable,57.84133333
718,solved,131.0816667
719,unsolvable,10.64666667
720,solved,148.0153333
721,solved,105.829
722,unsolvable,15.907
723,unsolvable,113.6186667
724,solved,177.456
725,solved,170.658
726,solved,90.01133333
727,solved,76.246
728,solved,41.83033333
729,unsolvable,67.164
730,solved,123.173
731,solved,43.54633333
732,solved,151.7866667
733,solved,75.95733333
734,solved,52.047
735,solved,51.22933333
736,unsolvable,30.866
737,solved,41.13966667
738,solved,53.027
739,solved,80.21633333
740,solved,155.535
741,solved,136.869
742,solved,71.95633333
743,solved,97.55466667
